k1, k2, threshold, accuracy
9, 3, 0.1, 0.1757
9, 3, 0.15, 0.1757
9, 3, 0.2, 0.1757
9, 3, 0.25, 0.1757
9, 3, 0.3, 0.1757
9, 3, 0.35, 0.1892
9, 3, 0.4, 0.3514
9, 3, 0.45, 0.6081
9, 3, 0.5, 0.9459
9, 3, 0.55, 0.9865
9, 3, 0.6, 1.0000
9, 3, 0.65, 1.0000
9, 3, 0.7, 1.0000
9, 3, 0.75, 1.0000
9, 3, 0.8, 1.0000
9, 3, 0.85, 1.0000
9, 3, 0.9, 1.0000
9, 3, 0.95, 1.0000
9, 3, 1, 1.0000
9, 4, 0.1, 0.1757
9, 4, 0.15, 0.1757
9, 4, 0.2, 0.1757
9, 4, 0.25, 0.1757
9, 4, 0.3, 0.1757
9, 4, 0.35, 0.1892
9, 4, 0.4, 0.3514
9, 4, 0.45, 0.6081
9, 4, 0.5, 0.9459
9, 4, 0.55, 0.9865
9, 4, 0.6, 1.0000
9, 4, 0.65, 1.0000
9, 4, 0.7, 1.0000
9, 4, 0.75, 1.0000
9, 4, 0.8, 1.0000
9, 4, 0.85, 1.0000
9, 4, 0.9, 1.0000
9, 4, 0.95, 1.0000
9, 4, 1, 1.0000
9, 5, 0.1, 0.1757
9, 5, 0.15, 0.1757
9, 5, 0.2, 0.1757
9, 5, 0.25, 0.1757
9, 5, 0.3, 0.1757
9, 5, 0.35, 0.1892
9, 5, 0.4, 0.3514
9, 5, 0.45, 0.6081
9, 5, 0.5, 0.9459
9, 5, 0.55, 0.9865
9, 5, 0.6, 1.0000
9, 5, 0.65, 1.0000
9, 5, 0.7, 1.0000
9, 5, 0.75, 1.0000
9, 5, 0.8, 1.0000
9, 5, 0.85, 1.0000
9, 5, 0.9, 1.0000
9, 5, 0.95, 1.0000
9, 5, 1, 1.0000
9, 6, 0.1, 0.1757
9, 6, 0.15, 0.1757
9, 6, 0.2, 0.1757
9, 6, 0.25, 0.1757
9, 6, 0.3, 0.1757
9, 6, 0.35, 0.1892
9, 6, 0.4, 0.3514
9, 6, 0.45, 0.6081
9, 6, 0.5, 0.9459
9, 6, 0.55, 0.9865
9, 6, 0.6, 1.0000
9, 6, 0.65, 1.0000
9, 6, 0.7, 1.0000
9, 6, 0.75, 1.0000
9, 6, 0.8, 1.0000
9, 6, 0.85, 1.0000
9, 6, 0.9, 1.0000
9, 6, 0.95, 1.0000
9, 6, 1, 1.0000
9, 7, 0.1, 0.1757
9, 7, 0.15, 0.1757
9, 7, 0.2, 0.1757
9, 7, 0.25, 0.1757
9, 7, 0.3, 0.1757
9, 7, 0.35, 0.1892
9, 7, 0.4, 0.3514
9, 7, 0.45, 0.6081
9, 7, 0.5, 0.9459
9, 7, 0.55, 0.9865
9, 7, 0.6, 1.0000
9, 7, 0.65, 1.0000
9, 7, 0.7, 1.0000
9, 7, 0.75, 1.0000
9, 7, 0.8, 1.0000
9, 7, 0.85, 1.0000
9, 7, 0.9, 1.0000
9, 7, 0.95, 1.0000
9, 7, 1, 1.0000
9, 8, 0.1, 0.1757
9, 8, 0.15, 0.1757
9, 8, 0.2, 0.1757
9, 8, 0.25, 0.1757
9, 8, 0.3, 0.1757
9, 8, 0.35, 0.1892
9, 8, 0.4, 0.3514
9, 8, 0.45, 0.6081
9, 8, 0.5, 0.9459
9, 8, 0.55, 0.9865
9, 8, 0.6, 1.0000
9, 8, 0.65, 1.0000
9, 8, 0.7, 1.0000
9, 8, 0.75, 1.0000
9, 8, 0.8, 1.0000
9, 8, 0.85, 1.0000
9, 8, 0.9, 1.0000
9, 8, 0.95, 1.0000
9, 8, 1, 1.0000
9, 9, 0.1, 0.1757
9, 9, 0.15, 0.1757
9, 9, 0.2, 0.1757
9, 9, 0.25, 0.1757
9, 9, 0.3, 0.1757
9, 9, 0.35, 0.1892
9, 9, 0.4, 0.3514
9, 9, 0.45, 0.6081
9, 9, 0.5, 0.9459
9, 9, 0.55, 0.9865
9, 9, 0.6, 1.0000
9, 9, 0.65, 1.0000
9, 9, 0.7, 1.0000
9, 9, 0.75, 1.0000
9, 9, 0.8, 1.0000
9, 9, 0.85, 1.0000
9, 9, 0.9, 1.0000
9, 9, 0.95, 1.0000
9, 9, 1, 1.0000
9, 10, 0.1, 0.1757
9, 10, 0.15, 0.1757
9, 10, 0.2, 0.1757
9, 10, 0.25, 0.1757
9, 10, 0.3, 0.1757
9, 10, 0.35, 0.1892
9, 10, 0.4, 0.3514
9, 10, 0.45, 0.6081
9, 10, 0.5, 0.9459
9, 10, 0.55, 0.9865
9, 10, 0.6, 1.0000
9, 10, 0.65, 1.0000
9, 10, 0.7, 1.0000
9, 10, 0.75, 1.0000
9, 10, 0.8, 1.0000
9, 10, 0.85, 1.0000
9, 10, 0.9, 1.0000
9, 10, 0.95, 1.0000
9, 10, 1, 1.0000
